nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
41	3	44	12	48471	12	47465	24	29	5	0	320	0	1	2018-07-23 10:24:06	40041	1532312646496	137
24	3	41	12	48493	12	48627	29	38	9	0	156	0	0	2018-07-23 10:24:06	40024	1532312646621	138
43	3	40	12	47718	12	47670	29	29	65535	0	224	0	0	2018-07-23 10:24:06	40043	1532312646663	139
52	3	40	12	47608	12	47568	29	34	5	0	122	0	0	2018-07-23 10:24:06	40052	1532312646705	140
33	3	37	12	47829	12	47863	14	19	5	0	514	0	0	2018-07-23 10:24:06	40033	1532312646747	141
77	3	40	12	47960	12	47871	29	34	5	0	425	0	0	2018-07-23 10:24:06	40077	1532312646830	142
32	3	41	12	48711	12	48861	29	36	7	0	390	0	0	2018-07-23 10:24:06	40032	1532312646930	143
56	3	37	12	46723	12	47524	14	23	9	0	175	0	0	2018-07-23 10:24:07	40056	1532312647106	144
53	3	41	12	47814	12	48795	29	38	9	0	324	0	0	2018-07-23 10:24:07	40053	1532312647272	145
48	3	41	12	47569	12	48506	29	34	5	0	35	1	0	2018-07-23 10:24:07	40048	1532312647306	146
10	4	3	13	2763	13	3287	0	5	5	0	65535	0	0	2018-07-23 10:24:24	40010	1532312664756	147
4	4	3	13	3081	13	3403	0	5	5	0	116	0	1	2018-07-23 10:24:24	40004	1532312664830	148
12	4	4	13	2988	13	3112	5	5	65535	0	31	1	0	2018-07-23 10:24:24	40012	1532312664870	149
80	4	3	13	964	13	3464	0	10	10	0	177	0	0	2018-07-23 10:24:24	40080	1532312664915	150
13	4	4	13	3131	13	3165	5	19	14	0	84	0	0	2018-07-23 10:24:24	40013	1532312664948	151
20	4	4	13	3254	13	3239	5	5	65535	0	158	0	0	2018-07-23 10:24:25	40020	1532312665048	152
8	4	3	13	3212	13	3633	0	5	5	0	346	0	1	2018-07-23 10:24:25	40008	1532312665082	153
63	4	70	13	1906	13	1132	12	16	4	0	56	1	0	2018-07-23 10:24:25	40063	1532312665115	154
16	4	4	13	3537	13	3374	5	5	65535	0	293	0	0	2018-07-23 10:24:25	40016	1532312665148	155
17	4	3	13	3422	13	3793	0	5	5	0	506	0	0	2018-07-23 10:24:25	40017	1532312665215	156
11	4	4	13	3121	13	3392	5	6	1	0	311	0	0	2018-07-23 10:24:25	40011	1532312665282	157
38	4	37	13	2077	13	2045	14	19	5	0	71	1	1	2018-07-23 10:24:25	40038	1532312665315	158
24	4	37	13	2026	13	1974	14	38	24	1	65535	0	0	2018-07-23 10:24:25	40024	1532312665415	159
64	4	8	13	1907	13	3322	5	11	6	0	109	1	1	2018-07-23 10:24:25	40064	1532312665449	160
39	4	38	13	2168	13	2146	19	19	65535	0	69	1	0	2018-07-23 10:24:25	40039	1532312665482	161
21	4	4	13	3593	13	3456	5	6	1	0	375	0	0	2018-07-23 10:24:25	40021	1532312665549	162
