nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
80	3	3	12	56630	12	59111	0	5	5	0	537	0	0	2018-07-23 09:15:52	40080	1532308552016	157
52	3	33	12	56410	12	57113	38	31	65535	0	21	1	1	2018-07-23 09:15:52	40052	1532308552050	158
69	3	70	12	56894	12	56877	38	45	7	0	129	1	0	2018-07-23 09:15:52	40069	1532308552183	159
75	3	71	12	57504	12	57528	47	52	5	0	458	0	0	2018-07-23 09:15:52	40075	1532308552217	160
77	3	52	12	56600	12	56519	31	31	65535	0	109	0	0	2018-07-23 09:15:52	40077	1532308552284	161
21	3	4	12	58850	12	58690	5	6	1	0	201	0	0	2018-07-23 09:15:52	40021	1532308552417	162
64	3	67	12	56666	12	56766	10	15	5	0	144	1	0	2018-07-23 09:15:52	40064	1532308552501	163
33	3	13	12	57092	12	58667	7	38	31	1	226	0	0	2018-07-23 09:15:52	40033	1532308552568	164
67	3	8	12	56622	12	58527	5	10	5	0	298	0	1	2018-07-23 09:15:52	40067	1532308552726	165
43	3	52	12	56962	12	56934	31	31	65535	0	524	0	0	2018-07-23 09:15:52	40043	1532308552759	166
66	3	63	12	57409	12	57545	31	36	5	0	344	0	0	2018-07-23 09:15:52	40066	1532308552859	167
10	3	3	12	58462	12	58841	0	6	6	0	267	0	0	2018-07-23 09:15:52	40010	1532308552893	168
38	3	33	12	57295	12	57293	38	17	65535	0	201	0	1	2018-07-23 09:15:52	40038	1532308552926	169
50	3	38	12	56876	12	57580	17	32	15	1	285	0	0	2018-07-23 09:15:52	40050	1532308552960	170
71	3	70	12	57070	12	57042	38	47	9	0	294	0	1	2018-07-23 09:15:53	40071	1532308553026	171
63	3	70	12	57201	12	57104	38	31	65535	0	356	0	1	2018-07-23 09:15:53	40063	1532308553062	172
56	3	37	12	56338	12	57045	12	18	6	0	253	0	0	2018-07-23 09:15:53	40056	1532308553127	173
32	3	52	12	57412	12	56681	31	38	7	0	271	0	0	2018-07-23 09:15:53	40032	1532308553260	174
40	3	52	12	57674	12	56836	31	26	65535	0	426	0	1	2018-07-23 09:15:53	40040	1532308553327	175
24	3	33	12	58116	12	57519	38	28	65535	0	427	0	0	2018-07-23 09:15:53	40024	1532308553460	176
48	3	52	12	57222	12	56725	31	31	65535	0	315	0	0	2018-07-23 09:15:53	40048	1532308553494	177
21	4	3	13	13432	13	13620	0	6	6	0	103	1	0	2018-07-23 09:16:10	40021	1532308570927	178
13	4	3	13	13389	13	13714	0	7	7	0	197	0	1	2018-07-23 09:16:11	40013	1532308571019	179
11	4	3	13	13233	13	13714	0	6	6	0	197	0	0	2018-07-23 09:16:11	40011	1532308571054	180
37	4	3	13	11784	13	13703	0	12	12	1	186	0	1	2018-07-23 09:16:11	40037	1532308571087	181
20	4	3	13	13281	13	13727	0	10	10	0	210	0	0	2018-07-23 09:16:11	40020	1532308571121	182
39	4	37	13	11853	13	11865	12	18	6	0	81	0	0	2018-07-23 09:16:11	40039	1532308571154	183
10	4	4	13	13529	13	13554	5	6	1	0	65535	0	0	2018-07-23 09:16:11	40010	1532308571254	184
17	4	3	13	13325	13	13824	0	5	5	0	307	0	0	2018-07-23 09:16:11	40017	1532308571288	185
12	4	3	13	13264	13	13727	0	5	5	0	210	0	0	2018-07-23 09:16:11	40012	1532308571322	186
4	4	37	13	13554	13	11968	12	5	65535	0	184	0	1	2018-07-23 09:16:11	40004	1532308571364	187
9	4	13	13	13811	13	13754	7	10	3	0	365	0	0	2018-07-23 09:16:11	40009	1532308571406	188
26	4	13	13	12238	13	13781	7	13	6	0	392	0	0	2018-07-23 09:16:11	40026	1532308571448	189
80	4	3	13	11538	13	14019	0	5	5	0	502	0	0	2018-07-23 09:16:11	40080	1532308571590	190
38	4	37	13	12286	13	12272	12	17	5	0	488	0	1	2018-07-23 09:16:11	40038	1532308571673	191
44	4	52	13	12196	13	11832	31	22	65535	0	89	1	0	2018-07-23 09:16:11	40044	1532308571773	192
47	4	52	13	11876	13	11888	31	31	65535	0	145	0	0	2018-07-23 09:16:11	40047	1532308571806	193
40	4	52	13	12736	13	11898	31	26	65535	0	155	0	1	2018-07-23 09:16:11	40040	1532308571840	194
77	4	40	13	12067	13	12817	26	31	5	0	81	1	0	2018-07-23 09:16:11	40077	1532308571907	195
32	4	33	13	12213	13	12192	38	38	65535	0	58	0	0	2018-07-23 09:16:11	40032	1532308571973	196
63	4	70	13	12044	13	11947	38	31	65535	0	68	1	1	2018-07-23 09:16:12	40063	1532308572240	197
41	4	63	13	11867	13	12103	31	31	65535	0	59	0	0	2018-07-23 09:16:12	40041	1532308572274	198
70	4	4	13	11879	13	13999	5	38	33	1	445	0	1	2018-07-23 09:16:12	40070	1532308572307	199
50	4	63	13	12012	13	12251	31	32	1	0	207	0	0	2018-07-23 09:16:12	40050	1532308572407	200
64	4	63	13	12378	13	12530	31	15	65535	0	486	0	0	2018-07-23 09:16:12	40064	1532308572441	201
16	4	3	13	13245	13	13727	0	10	10	0	210	0	0	2018-07-23 09:16:12	40016	1532308572474	202
78	4	70	13	12185	13	12221	38	45	7	0	342	0	0	2018-07-23 09:16:12	40078	1532308572541	203
