addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
26	4	13	37	38	39	0	0	0	0	0	0	0	0	0	0	6	5	9	9	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:04	40026	1532068204912	20
33	5	13	32	38	52	56	0	0	0	0	0	0	0	0	0	5	9	3	6	3	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:04	40033	1532068204946	21
32	4	33	41	52	56	0	0	0	0	0	0	0	0	0	0	9	9	9	6	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:04	40032	1532068204979	22
63	11	40	41	43	50	52	64	66	67	70	72	77	0	0	0	6	10	9	9	6	10	10	1	10	1	7	0	0	0	2018-07-20 14:30:05	40063	1532068205012	23
67	3	8	9	64	0	0	0	0	0	0	0	0	0	0	0	10	8	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:05	40067	1532068205046	24
69	3	70	71	75	0	0	0	0	0	0	0	0	0	0	0	7	10	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:05	40069	1532068205079	25
50	13	38	39	40	41	43	44	47	52	53	63	64	70	77	0	7	5	8	10	10	8	7	10	10	10	3	3	10	0	2018-07-20 14:30:05	40050	1532068205113	26
47	8	40	41	43	44	48	50	52	56	0	0	0	0	0	0	10	10	9	5	10	9	10	8	0	0	0	0	0	0	2018-07-20 14:30:05	40047	1532068205369	27
52	11	32	33	40	41	43	44	47	48	50	56	77	0	0	0	7	9	10	10	7	5	9	10	9	9	9	0	0	0	2018-07-20 14:30:05	40052	1532068205542	28
43	11	38	40	41	44	47	48	50	52	53	63	77	0	0	0	4	10	10	10	9	10	10	10	7	7	10	0	0	0	2018-07-20 14:30:05	40043	1532068205571	29
72	4	63	70	78	80	0	0	0	0	0	0	0	0	0	0	8	10	10	9	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:05	40072	1532068205604	30
53	5	40	41	43	50	77	0	0	0	0	0	0	0	0	0	6	6	6	10	6	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:05	40053	1532068205638	31
77	9	40	41	43	44	50	52	53	63	66	0	0	0	0	0	10	5	10	3	10	3	2	6	10	0	0	0	0	0	2018-07-20 14:30:05	40077	1532068205671	32
41	13	32	38	40	43	44	47	48	50	52	53	56	63	77	0	7	3	10	10	10	10	10	10	10	4	8	8	9	0	2018-07-20 14:30:05	40041	1532068205705	33
71	3	69	70	75	0	0	0	0	0	0	0	0	0	0	0	9	7	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:05	40071	1532068205738	34
80	7	3	4	10	12	17	70	72	0	0	0	0	0	0	0	10	10	10	10	10	10	3	0	0	0	0	0	0	0	2018-07-20 14:30:05	40080	1532068205788	35
56	5	32	37	41	47	52	0	0	0	0	0	0	0	0	0	6	10	6	7	6	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:05	40056	1532068205821	36
70	14	3	4	10	17	43	50	63	64	66	69	71	72	78	80	1	2	6	1	1	4	7	6	4	7	7	10	5	8	2018-07-20 14:30:05	40070	1532068205855	37
48	5	40	41	43	47	52	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:05	40048	1532068205888	38
44	8	38	40	41	43	47	50	52	77	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	2018-07-20 14:30:05	40044	1532068205922	39
78	2	70	72	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:05	40078	1532068205955	40
75	2	69	71	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:06	40075	1532068206013	41
