addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
24	5	30	32	33	41	44	0	0	0	0	0	0	0	0	0	10	10	4	10	10	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:03	40024	1527594903268	30
69	3	70	71	75	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:03	40069	1527594903516	31
71	4	69	75	124	132	0	0	0	0	0	0	0	0	0	0	10	10	8	9	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:03	40071	1527594903577	32
20	4	10	11	16	21	0	0	0	0	0	0	0	0	0	0	1	8	9	7	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:04	40020	1527594904315	33
70	10	10	12	63	64	66	69	72	78	80	120	0	0	0	0	9	8	9	7	5	3	10	9	9	8	0	0	0	0	2018-05-29 19:55:04	40070	1527594904545	34
17	5	3	10	12	21	80	0	0	0	0	0	0	0	0	0	9	10	9	8	9	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:04	40017	1527594904995	35
67	9	8	9	13	63	64	66	117	123	131	0	0	0	0	0	10	10	4	3	10	5	10	10	10	0	0	0	0	0	2018-05-29 19:55:05	40067	1527594905589	36
16	2	11	20	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:06	40016	1527594906055	37
64	8	8	63	66	67	70	123	129	131	0	0	0	0	0	0	10	10	8	10	10	8	10	1	0	0	0	0	0	0	2018-05-29 19:55:06	40064	1527594906546	38
66	6	63	64	67	70	77	139	0	0	0	0	0	0	0	0	10	9	7	10	9	8	0	0	0	0	0	0	0	0	2018-05-29 19:55:06	40066	1527594906602	39
63	10	40	41	43	50	52	64	66	70	72	129	0	0	0	0	10	9	10	10	4	10	10	10	10	10	0	0	0	0	2018-05-29 19:55:06	40063	1527594906729	40
13	9	3	8	9	11	21	26	33	37	67	0	0	0	0	0	5	6	7	6	8	4	7	9	3	0	0	0	0	0	2018-05-29 19:55:07	40013	1527594907195	41
10	6	3	12	17	21	70	80	0	0	0	0	0	0	0	0	9	9	10	7	10	9	0	0	0	0	0	0	0	0	2018-05-29 19:55:08	40010	1527594908269	42
12	7	3	10	17	20	21	70	80	0	0	0	0	0	0	0	10	10	8	1	5	10	9	0	0	0	0	0	0	0	2018-05-29 19:55:08	40012	1527594908327	43
11	4	3	13	16	20	0	0	0	0	0	0	0	0	0	0	10	8	9	7	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:08	40011	1527594908714	44
9	3	8	13	67	0	0	0	0	0	0	0	0	0	0	0	10	9	8	0	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:09	40009	1527594909301	45
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	4	10	9	7	8	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:10	40008	1527594910207	46
56	6	30	37	40	41	47	52	0	0	0	0	0	0	0	0	9	9	1	5	6	8	0	0	0	0	0	0	0	0	2018-05-29 19:55:10	40056	1527594910321	47
53	5	40	41	43	50	77	0	0	0	0	0	0	0	0	0	10	10	1	10	9	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:11	40053	1527594911293	48
52	9	32	40	41	43	47	48	50	56	63	0	0	0	0	0	5	7	10	9	7	7	7	7	3	0	0	0	0	0	2018-05-29 19:55:12	40052	1527594912313	49
3	6	10	11	12	17	21	80	0	0	0	0	0	0	0	0	10	4	10	10	8	8	0	0	0	0	0	0	0	0	2018-05-29 19:55:12	40003	1527594912695	50
139	7	66	118	122	123	124	129	132	0	0	0	0	0	0	0	5	7	10	1	10	9	10	0	0	0	0	0	0	0	2018-05-29 19:55:13	40139	1527594913061	51
50	8	38	40	41	43	52	53	63	77	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	0	0	0	0	0	2018-05-29 19:55:13	40050	1527594913975	52
48	4	40	41	47	52	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:14	40048	1527594914206	53
135	7	115	117	118	120	123	129	131	0	0	0	0	0	0	0	1	7	8	5	10	2	10	0	0	0	0	0	0	0	2018-05-29 19:55:15	40135	1527594915098	54
47	7	40	41	43	48	50	52	56	0	0	0	0	0	0	0	10	10	10	10	1	10	7	0	0	0	0	0	0	0	2018-05-29 19:55:15	40047	1527594915276	55
44	6	38	39	40	41	43	47	0	0	0	0	0	0	0	0	8	1	10	9	10	1	0	0	0	0	0	0	0	0	2018-05-29 19:55:16	40044	1527594916274	56
