link[53, 41]: quality 1, rssi -87.4
link[53, 43]: quality 1, rssi -86.9
link[53, 50]: quality 1, rssi -68
link[53, 77]: quality 1, rssi -85.2
Node 53 has 5 neighbors.
link[56, 31]: quality 1, rssi -83
link[56, 32]: quality 0.1, rssi -95
link[56, 33]: quality 0.9, rssi -89.7777777777778
link[56, 37]: quality 0.9, rssi -76.7777777777778
link[56, 40]: quality 0.6, rssi -94
link[56, 41]: quality 0.9, rssi -87.3333333333333
link[56, 52]: quality 1, rssi -93
Node 56 has 7 neighbors.
link[63, 40]: quality 0.9, rssi -85.1111111111111
link[63, 41]: quality 0.9, rssi -89.5555555555556
link[63, 43]: quality 1, rssi -76.8
link[63, 50]: quality 1, rssi -78.8
link[63, 64]: quality 0.9, rssi -65
link[63, 66]: quality 1, rssi -68.5
link[63, 70]: quality 1, rssi -80
link[63, 129]: quality 1, rssi -86.6
Node 63 has 8 neighbors.
link[64, 8]: quality 0.8, rssi -84.875
link[64, 63]: quality 0.9, rssi -67.4444444444444
link[64, 66]: quality 1, rssi -88.7
link[64, 67]: quality 0.5, rssi -90.8
link[64, 70]: quality 1, rssi -84
link[64, 123]: quality 1, rssi -86.5
link[64, 131]: quality 1, rssi -87.2
link[64, 135]: quality 1, rssi -83.8
Node 64 has 8 neighbors.
link[66, 63]: quality 1, rssi -68.3
link[66, 64]: quality 0.8, rssi -85.75
link[66, 70]: quality 0.9, rssi -89.1111111111111
link[66, 77]: quality 1, rssi -82.7
link[66, 139]: quality 0.9, rssi -88.7777777777778
Node 66 has 5 neighbors.
link[67, 8]: quality 1, rssi -82
link[67, 13]: quality 1, rssi -90.5
link[67, 64]: quality 0.8, rssi -88.75
link[67, 117]: quality 0.8, rssi -91
link[67, 123]: quality 1, rssi -84.9
link[67, 131]: quality 1, rssi -80.1
Node 67 has 6 neighbors.
link[69, 70]: quality 0.8, rssi -91.875
link[69, 71]: quality 0.9, rssi -77.6666666666667
link[69, 75]: quality 1, rssi -67
Node 69 has 3 neighbors.
link[70, 12]: quality 0.5, rssi -91.2
link[70, 63]: quality 0.8, rssi -81.625
link[70, 64]: quality 0.8, rssi -83.5
link[70, 66]: quality 0.5, rssi -91.2
link[70, 69]: quality 0.6, rssi -90.8333333333333
link[70, 72]: quality 1, rssi -78.1
link[70, 78]: quality 0.8, rssi -80.125
link[70, 80]: quality 1, rssi -76
link[70, 118]: quality 0.6, rssi -90.8333333333333
link[70, 120]: quality 0.9, rssi -89.1111111111111
Node 70 has 10 neighbors.
link[71, 69]: quality 0.8, rssi -74.375
link[71, 75]: quality 1, rssi -60.1
link[71, 124]: quality 1, rssi -83.2
link[71, 132]: quality 0.8, rssi -78.25
Node 71 has 4 neighbors.
link[72, 70]: quality 1, rssi -77.2
link[72, 78]: quality 1, rssi -68
link[72, 80]: quality 0.9, rssi -88
Node 72 has 3 neighbors.
link[75, 69]: quality 0.8, rssi -63.5
link[75, 71]: quality 0.9, rssi -59.7777777777778
Node 75 has 2 neighbors.
link[77, 40]: quality 0.6, rssi -83.6666666666667
link[77, 41]: quality 1, rssi -81.8
link[77, 43]: quality 1, rssi -69.9
link[77, 50]: quality 0.8, rssi -74
link[77, 53]: quality 0.8, rssi -84.625
link[77, 66]: quality 0.9, rssi -81.8888888888889
Node 77 has 6 neighbors.
link[78, 70]: quality 1, rssi -80
link[78, 72]: quality 1, rssi -67.2
link[78, 120]: quality 0.8, rssi -92.125
Node 78 has 3 neighbors.
link[80, 10]: quality 1, rssi -62.1
link[80, 12]: quality 0.8, rssi -84.375
link[80, 17]: quality 0.9, rssi -72.3333333333333
link[80, 70]: quality 0.9, rssi -73.7777777777778
link[80, 72]: quality 0.9, rssi -86.1111111111111
link[80, 119]: quality 0.6, rssi -92
Node 80 has 6 neighbors.
link[115, 117]: quality 1, rssi -67
link[115, 118]: quality 1, rssi -62.1
link[115, 119]: quality 1, rssi -84.5
link[115, 120]: quality 1, rssi -60
link[115, 121]: quality 1, rssi -78
link[115, 123]: quality 1, rssi -76.1
link[115, 129]: quality 1, rssi -73.8
link[115, 131]: quality 1, rssi -66.5
link[115, 139]: quality 0.8, rssi -88.875
Node 115 has 9 neighbors.
link[117, 67]: quality 0.4, rssi -91
link[117, 115]: quality 1, rssi -71.2
link[117, 118]: quality 1, rssi -80.4
link[117, 119]: quality 0.9, rssi -88
link[117, 120]: quality 1, rssi -67.3
link[117, 121]: quality 1, rssi -85
link[117, 123]: quality 1, rssi -75.2
link[117, 127]: quality 1, rssi -84.1
link[117, 129]: quality 1, rssi -64.7
link[117, 131]: quality 1, rssi -67
link[117, 135]: quality 0.7, rssi -88
Node 117 has 11 neighbors.
link[118, 64]: quality 0.1, rssi -92
link[118, 70]: quality 0.9, rssi -87
link[118, 115]: quality 1, rssi -64
link[118, 117]: quality 1, rssi -78
link[118, 119]: quality 1, rssi -78.1
link[118, 120]: quality 1, rssi -72.1
link[118, 121]: quality 0.9, rssi -82.3333333333333
link[118, 122]: quality 1, rssi -89
link[118, 123]: quality 0.8, rssi -79
link[118, 124]: quality 1, rssi -84.8
link[118, 129]: quality 1, rssi -68.3
link[118, 131]: quality 1, rssi -76.2
link[118, 135]: quality 0.7, rssi -89.2857142857143
link[118, 139]: quality 0.8, rssi -85.625
Node 118 has 14 neighbors.
link[119, 80]: quality 0.3, rssi -91
link[119, 115]: quality 0.9, rssi -87.7777777777778
link[119, 117]: quality 1, rssi -86.8
link[119, 118]: quality 1, rssi -78.5
link[119, 120]: quality 1, rssi -70
link[119, 121]: quality 1, rssi -50.6
link[119, 123]: quality 0.3, rssi -91.3333333333333
link[119, 127]: quality 1, rssi -70.8
link[119, 129]: quality 0.6, rssi -91
link[119, 131]: quality 1, rssi -88.8
Node 119 has 10 neighbors.
link[120, 70]: quality 1, rssi -86.4
link[120, 78]: quality 0.7, rssi -90.1428571428571
link[120, 115]: quality 1, rssi -63
link[120, 117]: quality 1, rssi -66.1
link[120, 118]: quality 1, rssi -74
link[120, 119]: quality 1, rssi -70
link[120, 121]: quality 1, rssi -68
link[120, 123]: quality 1, rssi -83.9
link[120, 124]: quality 1, rssi -90
link[120, 131]: quality 1, rssi -82.9
link[120, 132]: quality 0.9, rssi -88.4444444444444
link[120, 135]: quality 0.8, rssi -88.625
Node 120 has 12 neighbors.
link[121, 80]: quality 0.1, rssi -91
link[121, 115]: quality 1, rssi -79.4
link[121, 117]: quality 0.9, rssi -82.2222222222222
link[121, 118]: quality 1, rssi -81.5
link[121, 119]: quality 1, rssi -48.6
link[121, 120]: quality 1, rssi -66.1
link[121, 123]: quality 0.4, rssi -90
link[121, 127]: quality 1, rssi -72.9
link[121, 129]: quality 0.6, rssi -84.1666666666667
link[121, 131]: quality 0.2, rssi -90
Node 121 has 10 neighbors.
link[122, 118]: quality 0.3, rssi -91.3333333333333
link[122, 124]: quality 1, rssi -82.9
link[122, 129]: quality 1, rssi -76.3
link[122, 132]: quality 0.9, rssi -82.3333333333333
link[122, 139]: quality 1, rssi -53.2
Node 122 has 5 neighbors.
link[123, 64]: quality 1, rssi -85.4
link[123, 67]: quality 1, rssi -86.4
link[123, 115]: quality 0.9, rssi -81.3333333333333
