id	src	rssi	insert_time	motelabMoteID	milli_time	motelabSeqNo
71	69	221	2018-06-11 08:48:55	40069	1528678135296	83
3	10	237	2018-06-11 08:48:55	40010	1528678135329	84
38	50	211	2018-06-11 08:48:55	40050	1528678135362	85
69	71	224	2018-06-11 08:48:55	40071	1528678135396	86
80	121	212	2018-06-11 08:48:55	40121	1528678135429	87
32	52	211	2018-06-11 08:48:55	40052	1528678135496	88
3	12	240	2018-06-11 08:48:55	40012	1528678135529	89
40	63	222	2018-06-11 08:48:55	40063	1528678135563	90
32	52	211	2018-06-11 08:48:55	40052	1528678135596	91
3	12	240	2018-06-11 08:48:55	40012	1528678135629	92
64	129	216	2018-06-11 08:48:55	40129	1528678135696	93
70	78	220	2018-06-11 08:48:55	40078	1528678135730	94
40	41	241	2018-06-11 08:48:55	40041	1528678135763	95
40	53	214	2018-06-11 08:48:55	40053	1528678135796	96
8	67	225	2018-06-11 08:48:55	40067	1528678135830	97
64	129	216	2018-06-11 08:48:55	40129	1528678135863	98
32	24	217	2018-06-11 08:48:55	40024	1528678135896	99
3	8	217	2018-06-11 08:48:55	40008	1528678135930	100
64	129	216	2018-06-11 08:48:55	40129	1528678135963	101
64	117	214	2018-06-11 08:48:55	40117	1528678135998	102
40	41	241	2018-06-11 08:48:56	40041	1528678136031	103
8	67	224	2018-06-11 08:48:56	40067	1528678136065	104
70	78	219	2018-06-11 08:48:56	40078	1528678136098	105
